2BLOCK              -	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
AC                  4.20	3.84	4.05	3.34	3.69	3.96	3.69	3.75	3.41	3.71	3.73	4.13	3.55	3.65	3.91	3.96	-
AG                  7.30	4.83	3.78	3.56	3.01	2.85	2.76	2.42	2.21	2.34	2.10	2.00	1.98	1.99	1.78	1.82	-
AKC                 54.08	30.77	22.53	20.38	16.08	14.87	13.93	12.51	11.58	11.22	10.57	10.14	9.67	9.40	9.01	10.38	-
AOSO2               -	1.32	0.98	0.93	0.90	0.93	1.00	0.92	1.07	0.97	0.96	0.91	0.94	0.89	1.07	0.93	-
AOSO4               -	-	2.99	0.87	1.00	0.65	0.51	0.51	0.66	0.57	0.49	0.62	0.55	0.59	0.56	0.59	-
AOSO6               -	-	-	2.54	2.95	0.73	0.73	0.70	0.57	0.46	0.56	0.43	0.53	0.45	0.52	0.60	-
ASKIP               3.36	2.84	2.04	1.87	1.58	1.29	1.06	1.04	1.03	0.78	0.75	0.93	0.69	0.69	0.71	0.62	-
AUT                 3.70	3.74	3.73	3.63	3.68	3.82	3.87	3.71	3.67	3.72	3.89	3.71	3.80	3.76	3.81	3.68	-
BF                  2.51	2.77	2.34	1.85	2.49	2.83	2.90	2.04	2.10	2.39	2.33	2.28	2.37	2.30	1.95	1.68	-
BFS                 3.41	2.05	1.54	1.36	1.08	1.03	0.94	0.83	0.89	0.72	0.76	0.81	0.73	0.77	0.65	0.69	-
BLIM                2.16	1.61	1.18	1.00	1.07	0.93	0.92	0.88	0.97	0.92	0.77	0.89	1.12	1.06	0.86	0.81	-
BM                  5.41	3.07	2.29	1.94	1.50	1.42	1.39	1.31	1.07	1.17	1.05	1.06	1.12	0.91	0.92	1.00	-
BMH-SBNDM           3.45	2.02	1.44	1.18	1.05	1.13	0.86	0.85	0.78	0.74	0.65	0.88	0.74	0.68	0.61	0.59	-
BNDM                2.59	2.07	1.65	1.48	1.26	1.11	1.07	0.87	0.80	0.85	0.76	0.73	0.80	0.76	0.69	0.70	-
BNDML               2.43	2.10	1.63	1.41	1.31	1.13	0.96	0.79	0.87	0.77	0.71	0.74	0.78	0.64	0.65	0.57	-
BNDMQ2              1.63	1.12	0.78	0.70	0.60	0.55	0.63	0.59	0.49	0.54	0.56	0.53	0.45	0.55	0.60	0.55	-
BNDMQ4              -	2.45	1.05	0.65	0.69	0.57	0.44	0.41	0.50	0.54	0.34	0.50	0.35	0.36	0.32	0.30	-
BNDMQ6              -	-	3.39	1.41	0.85	0.76	0.65	0.63	0.50	0.46	0.46	0.38	0.51	0.45	0.45	0.45	-
BOM                 3.53	3.13	2.63	2.43	2.18	2.14	2.28	1.91	1.83	1.95	1.83	1.71	1.62	1.55	1.54	1.54	-
BOM2                2.93	2.42	1.88	1.56	1.42	1.30	1.20	1.05	0.97	0.96	0.78	0.80	0.86	0.77	0.77	0.76	-
BR                  2.88	2.28	1.66	1.24	1.25	1.25	0.96	0.96	0.98	0.80	0.83	0.70	0.73	0.69	0.80	0.64	-
